N,P,K,temperature,humidity,ph,rainfall,label
76,48,18,19.29563411,69.63481219,5.77597783,83.21030571,maize
75,53,18,20.68899915,59.4375337,6.864793607,103.651438,maize
81,45,23,19.32666088,68.03449300000001,6.192360002999999,84.22969177,maize
73,45,21,24.60532218,73.58868502,6.636803222999999,96.59195302,maize
71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,maize
96,54,22,25.70196694,61.33450447,6.960358276,83.20711308,maize
62,48,20,21.70181447,60.47470519,6.708446922,95.71388473,maize
94,50,19,23.30355338,73.62548442,5.873242491,97.59081274,maize
76,39,24,24.2547451,55.64709899,6.995843776,64.23845455,maize
77,52,17,24.86374934,65.7420046,5.714799723,75.82270467,maize
74,39,23,22.6265115,65.77472881,6.78073637,88.17251033,maize
63,42,21,23.26237612,72.33125523,5.798423907999999,67.10225139,maize
99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,maize
90,52,25,25.97482359,69.36385721,6.822586546,103.2234212,maize
68,40,19,26.14384005,66.20569924,6.655426355,107.2361366,maize
71,52,18,25.10787449,55.97732754,5.790770202999999,78.16077693,maize
61,59,17,23.33844615,59.24580604,6.47444292,105.0083144,maize
88,38,15,25.08239719,65.92195844,6.455116637000001,62.49190812,maize
65,60,22,25.36768364,72.52054555,6.6069840860000015,107.9124111,maize
78,37,22,25.34217103,63.31801994,6.330554389,74.52082026,maize
78,58,15,25.00933355,67.816568,6.5286312660000005,62.91359494,maize
79,59,17,20.37999665,63.73849998,6.644205485,108.5054416,maize
76,51,18,26.16985907,71.96246617,6.247040422,79.84925393,maize
71,60,22,26.07470121,59.37147589,6.2048017,85.75692395,maize
67,35,22,23.30546753,63.24648023,6.385684213999999,108.7603001,maize
83,58,23,19.74213321,59.66263104,6.381201909,65.50861389,maize
83,57,19,25.73044432,70.74739256,6.877869005,98.73771338,maize
33,73,23,29.23540524,59.38967583,5.985792703,103.3301803,pigeonpeas
35,58,20,29.38538562,63.47742011,5.761702519,90.05422663,pigeonpeas
31,72,17,28.69180475,49.47225353,5.833031707999999,96.36222901,pigeonpeas
16,80,20,31.24021696,56.67369054,7.3393209289999986,122.0146733,pigeonpeas
27,72,17,28.98039357,57.23265151,6.347929353,120.7435664,pigeonpeas
9,76,25,28.88302142,50.12323801,5.70951224,179.2155874,pigeonpeas
28,75,21,24.7741949,50.54621094,6.007508163,114.2821387,pigeonpeas
38,72,21,28.23416057,49.4421345,5.902103172,186.5008581,pigeonpeas
1,76,17,28.43430726,52.10010827,6.012719118,147.0414824,pigeonpeas
28,59,22,30.90607799,52.79913039,7.05181629,170.99198280000005,pigeonpeas
6,63,23,26.01630259,49.94704718,5.906596905,160.33374469999995,pigeonpeas
14,75,24,24.54757829,57.3414485,6.436160044,118.3606557,pigeonpeas
5,77,19,31.08564994,66.68832981,6.242052013,175.9303271,pigeonpeas
21,74,15,29.49096726,67.10604388,6.471862118,153.2504506,pigeonpeas
27,74,20,24.69487673,59.96669215,5.8598134160000015,91.95792434,pigeonpeas
18,55,23,21.9989826,56.31006755,6.98571967,136.82743119999998,pigeonpeas
7,74,17,22.47253208,62.56532471,5.667419697000001,96.74706956,pigeonpeas
10,71,18,19.54284889,66.34777265,6.151029296,173.11069819999997,pigeonpeas
11,53,24,28.52396666,55.77264351,7.39389918,61.32935611,mothbeans
29,57,20,25.60973447,50.7330069,5.87707519,53.39249517,mothbeans
24,37,21,30.573999,58.22686794,5.818219385,62.74803826,mothbeans
22,44,24,24.30935081,56.32938343,6.030447288,58.99536268,mothbeans
21,38,20,27.10508014,63.56791363,5.794289715,62.20279647,mothbeans
32,48,18,26.45707778,56.40226277,5.993513566,64.16167699,mothbeans
19,36,22,25.44689075,58.55363573,6.16496284,57.04826619,mothbeans
21,39,20,27.06179658,52.3003173,7.388007482999999,60.74583498,mothbeans
15,45,23,24.20422636,61.43378674,7.224193642,46.0203959,mothbeans
11,40,23,29.61253065,63.04749127,5.80428611,50.1978269,mothbeans
19,55,20,27.43329405,87.80507732,7.18530147,54.73367631,mungbean
36,55,20,27.01470397,84.34262707,6.635968697999999,55.296354,mungbean
22,56,17,29.87888063,87.32761241,6.89077995,44.75215854,mungbean
34,59,23,28.56212158,83.24855855,6.935804256,56.48265193,mungbean
31,51,25,27.53592929,85.57019009999998,7.196774236,53.01899249,mungbean
21,39,20,28.14448546,82.1193047,7.064782137999999,46.75690086,mungbean
28,35,22,29.53037621,86.73346018,7.156563094,59.87232071,mungbean
17,52,17,27.88352946,86.45147631,6.364967184,44.64407105,mungbean
24,42,23,28.22471276,82.35916228,6.428054409,44.01206619,mungbean
28,46,16,29.008124,84.96089355,6.664187809,45.91011391,mungbean
31,58,15,27.11026483,84.96771717,7.121571293,51.52617423,mungbean
19,35,24,27.11030369,83.64274107,6.883308033,49.11964582,mungbean
24,53,17,28.95451232,89.07866095,6.421271178,57.65901369,mungbean
31,53,16,28.7420098,85.81675947,6.452006451,48.54598575,mungbean
28,45,23,29.65021184,80.29868321,6.489259136,56.76278363,mungbean
33,60,15,28.95172351,81.67085323,6.510840928,56.51103293,mungbean
13,57,25,28.30041493,86.20681554,6.86308576,50.47333854,mungbean
33,57,17,27.89636126,88.71782287,6.78415271,57.79863368,mungbean
32,57,22,28.6899851,87.50436797,6.769415887999999,44.56598352,mungbean
23,59,25,27.826262300000003,88.73100226,6.320768488,56.68833819,mungbean
35,41,18,28.70562673,81.59200689,6.705008503999999,59.87065439,mungbean
6,48,24,28.6362812,84.61431076,6.790736339,48.48319335,mungbean
29,36,25,28.28511547,88.4393979,7.130278657000001,48.56690235,mungbean
14,48,21,29.24598976,84.80084105,6.991242362,53.43228915,mungbean
8,50,21,28.62911222,89.11480590000002,6.218923893,50.49913241,mungbean
20,40,15,29.57329479,88.07505524,7.199495367999999,45.04467075,mungbean
36,43,22,27.82684262,87.16679147,6.3898821660000005,58.37249772,mungbean
11,60,23,27.33684386,88.50229102,7.033012777000001,51.09802625,mungbean
10,59,15,29.83040388,89.30428305,6.32400451,58.86687093,mungbean
7,60,25,28.2753171,82.76020821,6.397636709,56.04995423,mungbean
2,47,15,29.86860065,85.99127934,6.401455706,58.41394143,mungbean
20,45,22,29.5888162,89.9939693,6.904587016,54.96121262,mungbean
2,39,15,28.07219563,82.9116472,6.478557136,49.61865305,mungbean
27,40,24,27.84026517,89.99615558,7.063022095,52.84626009,mungbean
35,48,15,27.10818093,87.45126690000002,6.981758362000001,55.03723979,mungbean
4,59,25,27.68515114,81.94268594,6.227134139,54.62243308,mungbean
1,48,24,29.34594634,85.60472562,6.232836962,59.03629954,mungbean
36,43,21,28.36319404,84.8593608,7.140437859,52.93031105,mungbean
11,46,24,27.65280218,89.80650642,6.459252023,56.52558045,mungbean
34,47,19,27.31372793,85.44815232,6.568795403999999,53.15223123,mungbean
21,44,18,27.06909959,86.89934108,7.12851089,50.46746116,mungbean
25,40,21,27.73329078,81.13903037,6.248900919,44.17580911,mungbean
2,38,18,27.53632932,89.92908171,6.619891497999999,45.48591922,mungbean
9,48,20,29.66461594,84.28187572,6.377568542000001,56.09542002,mungbean
36,38,15,28.36363858,87.59810657,6.3206620120000006,57.99524359,mungbean
30,44,16,29.73013036,82.89166381,6.442335592999999,50.91511275,mungbean
9,48,22,27.77076285,87.09979549,6.402926221,49.50812624,mungbean
31,48,17,28.88078945,86.94206817,6.594739424,53.79732545,mungbean
30,37,25,29.89129144,80.14487166,7.120032489,54.7960127,mungbean
20,41,20,29.27308605,89.4875022,7.073048264,50.9246554,mungbean
37,50,23,29.65296893,88.48587386,6.5304707,56.01913159,mungbean
34,35,21,28.44524991,82.67639542,6.684381357,58.18713162,mungbean
14,37,15,27.96235681,83.97586797,6.581351374,48.9366954,mungbean
40,51,17,28.66086349,86.12194568,6.860602782000001,50.01534317,mungbean
27,56,20,29.2114218,87.11497805,6.41874299,51.53848218,mungbean
31,40,22,29.40889385,86.16063492,6.365513634,53.35486977,mungbean
24,44,17,29.8596912,80.03499648,6.666380512000001,50.66487502,mungbean
25,59,19,29.06631494,83.6869203,6.626629798,43.95183726,mungbean
32,56,21,27.38538997,88.66663953,6.702772465,58.29933073,mungbean
19,39,17,29.2808618,81.8009244,6.890156495,44.47427436,mungbean
39,37,15,28.9973145,83.78911515,6.821747052,59.84499208,mungbean
26,54,17,28.5474135,88.9570454,6.27258822,49.4897245,mungbean
21,51,15,29.36488409,89.1886954,6.679127482,48.30159325,mungbean
4,40,21,28.79728147,80.45744422,6.725551062,44.30070517,mungbean
10,37,22,28.7275267,89.12760359,7.069747813999999,58.52974279,mungbean
23,45,23,28.77653519,86.69133979,6.983130466,56.12443206,mungbean
25,48,21,28.438097,83.48991368,6.267684328,52.55469976,mungbean
25,62,21,26.73433965,68.13999721,7.040056094,67.15096376,blackgram
42,61,22,26.27274407,62.28814857,7.418650668,70.23207557,blackgram
44,58,18,28.03644051,65.06601664,6.814410927999999,72.49507741,blackgram
50,74,17,27.10053268,63.36085585,6.5408208,73.84949872,blackgram
39,73,24,25.65842532,61.18235808,7.22405917,69.28607828,blackgram
52,63,19,29.58949031,68.32176769,6.928898659,67.53021213,blackgram
51,56,18,28.12787838,64.2097765,6.706505915,70.86340755,blackgram
36,66,15,30.08545364,69.34811988,6.668238556,67.1367443,blackgram
20,62,18,29.36358721,64.98742947,7.366542647,61.91208707,blackgram
58,71,15,27.82592799,67.58618829999999,6.919243702,74.01229707,blackgram
25,71,24,28.49538735,60.44848407,7.187721817999999,74.91559514,blackgram
52,71,16,27.74274761,68.53997144,7.0758864720000005,71.78615328,blackgram
40,63,18,30.41588462,67.66323804,6.74441168,63.02473185,blackgram
20,60,25,27.3254209,69.09047809,6.726469087999999,61.19250859,blackgram
48,61,21,30.28496619,61.69295127,6.628264883,65.62859526,blackgram
49,68,22,28.56840626,61.53278622,7.127064207,63.49726331,blackgram
21,63,22,25.09737391,67.72837887,6.859409487000001,74.61649888,blackgram
41,78,21,25.19857725,60.37332688,6.581313137,70.88787207,blackgram
21,78,19,27.16159076,66.76017239,6.92009048,69.85112265,blackgram
56,75,15,30.20157245,60.06534859,7.152272256,66.37171179,blackgram
24,80,19,29.67892453,69.0854554,6.8080417220000005,65.66436565,blackgram
49,76,18,27.05365239,67.7017527,7.393631868,60.4693835,blackgram
50,64,25,28.84079155,63.37230676,6.734447425,70.25496749,blackgram
26,67,16,29.10713092,67.90577375,7.17620823,67.83345933,blackgram
33,80,22,28.57006111,65.71765781,6.593961761,70.0866434,blackgram
37,79,19,27.54384835,69.3478631,7.143942758,69.40878198,blackgram
20,68,17,30.11873003,60.11680815,6.578714842999999,71.72980375,blackgram
25,68,19,29.39982732,64.25510719,7.1084501210000015,67.47677295,blackgram
41,62,15,29.38400259,64.14928485,7.358974541,65.24194361,blackgram
28,65,23,28.38686534,61.88871127,7.405176138,74.24459122,blackgram
35,64,15,28.47442276,63.53604453,6.500144962,69.5274407,blackgram
52,58,16,30.64095781,61.14508627,7.167435834,71.36947525,blackgram
58,75,25,25.25596239,61.36669662,7.261791753,68.64685069,blackgram
42,58,25,27.45853567,62.90020977,6.513620917999999,69.46020927,blackgram
37,62,17,25.68576704,69.84354028,7.121254928,74.62068748,blackgram
21,80,20,28.20667264,68.27085245,7.350869792,64.32887142,blackgram
29,76,15,28.541723600000005,64.2020154,7.0256077060000015,69.68862306,blackgram
43,61,20,26.87187036,61.61367264,6.804253866,63.51822045,blackgram
44,63,15,26.42333018,64.51136845,7.338929556,63.46546487,blackgram
29,67,21,29.79181107,63.38789228,6.621323612,63.02169909,blackgram
47,63,16,27.44003279,67.10464369,6.661870999,72.50669768,blackgram
58,61,15,30.94908189,64.23364112,7.402891666,62.78730907,blackgram
41,74,18,28.75751783,61.02701476,6.599147297999999,73.37686831,blackgram
58,79,17,27.24766491,66.10123083,7.04174124,62.31842057,blackgram
27,62,24,28.63005477,66.770943,7.353876754,62.2737345,blackgram
27,60,17,26.41768321,63.64698302,7.026795358999999,64.42177127,blackgram
44,55,25,29.6321052,65.91359954,7.42160832,71.16331975,blackgram
33,77,21,30.32992227,65.62971858,7.01285529,71.64631281,blackgram
59,58,17,28.546224,66.31394098,7.368318809,62.83469851,blackgram
29,63,17,30.02629908,67.88811637,7.26154329,66.47264636,blackgram
29,70,15,30.33499674,63.54718862,6.872594461,74.16699119,blackgram
42,79,23,27.71678273,63.29103387,6.781841984,68.56507978,blackgram
11,74,17,21.36383757,69.92375891,6.633864582,46.6352865,lentil
37,71,16,26.28663931,68.51966729,7.324863481,46.13833007,lentil
29,71,18,22.17499963,62.13873825,6.410441476,53.46622584,lentil
6,59,21,26.58972517,66.14007674,6.139215944,50.90994463,lentil
6,77,20,25.78746268,60.2816298,6.058306161,49.14337177,lentil
2,75,22,23.89271875,61.78779413,6.658605362,52.55730112,lentil
37,62,22,24.02037872,61.62313345,7.397546271,49.78102578,lentil
3,78,18,20.21368219,68.65257685,6.887130053,50.89732989,lentil
12,66,20,27.41434987,63.41785982,7.336117221,44.43177543,lentil
4,61,21,24.84063998,60.09116626,6.75020529,48.77790371,lentil
18,66,22,25.87990287,67.55109024,6.347379185,47.89645224,lentil
32,56,18,20.0467711,65.84395319,7.135251532000001,46.05333124,lentil
15,77,20,25.13163619,66.92642362,7.399749291,49.04015558,lentil
3,63,16,24.38041875,61.18458224,6.868881707999999,53.13946695,lentil
2,78,23,21.31852148,66.43934593,7.320514721,45.42616802,lentil
14,67,25,25.28710601,60.85993533,7.241151936,49.37369982,lentil
19,72,15,28.83600962,69.76112921,6.890760124,44.08562546,lentil
18,57,21,27.37659643,63.93927841,6.155915975,49.47371773,lentil
31,58,15,28.31886863,60.19461399,6.167855382000001,45.36521251,lentil
34,65,19,23.43974653,63.22011726,5.94239222,45.40277297,lentil
14,69,19,20.95628486,63.68128841,7.239455147,52.39881209,lentil
22,55,16,23.7937153,68.03209183,6.516317561,49.73922097,lentil
26,63,17,29.87854588,65.73085206,6.950300686,44.95654782,lentil
27,61,15,25.2653291,67.10004577,6.958054839,48.33941188,lentil
13,74,25,24.12192608,61.09533545,6.461618577,44.23629285,lentil
12,58,23,21.74600081,63.39503184,6.765091462000001,50.43306085,lentil
32,79,22,27.60195453,63.46170674,5.91645379,54.37814199,lentil
6,68,18,24.388717,62.50453062,6.711341147000001,47.26052494,lentil
23,75,17,24.87425505,64.00213929,7.198076286,48.28137482,lentil
32,78,22,23.97081395,62.35557553,7.007037515,53.40906048,lentil
1,67,21,27.52135365,60.53657684,6.551577598,48.06491307,lentil
12,67,23,25.62896213,63.14909763,6.585020302999999,45.49683991,lentil
36,67,20,20.39078312,60.47528931,6.924042372000001,53.31508572,lentil
14,59,22,23.82723528,67.89815262,6.76660668,46.90725077,lentil
30,61,18,27.14911056,67.02664337,6.157782589,52.50812701,lentil
0,74,17,23.33375853,64.50515776,7.240988401,47.01510708,lentil
7,63,24,19.55750776,64.45268309,6.818681086000002,53.04669416,lentil
9,56,17,26.13708256,66.7729209,6.261937875,46.48280681,lentil
14,74,15,27.99990346,65.57653373,6.493036868,49.94043064,lentil
28,67,21,21.79792649,63.73086065,6.250994222999999,46.62370222,lentil
28,79,16,24.70626432,60.26854183,6.0521848810000005,53.12442925,lentil
40,61,22,20.94981756,65.8108757,7.002216044,44.23913012,lentil
37,77,20,25.93381964,68.70533022,7.080506001,51.02372773,lentil
0,67,22,29.82112112,69.4073209,6.5937983870000005,51.56461082,lentil
7,73,25,27.52185591,63.13215259,7.28805662,45.20841071,lentil
10,56,18,27.99627907,68.6428593,7.32710972,46.10585191,lentil
39,70,15,20.76774783,63.90164154,6.366355781,47.9271552,lentil
26,56,22,23.05276444,60.424786,7.011121216,52.60285259,lentil
2,24,38,24.55981624,91.63536236,5.922935513,111.9684622,pomegranate
6,18,37,19.65690085,89.93701023,5.937649577999999,108.0458926,pomegranate
37,18,39,24.1469628,94.5110662,6.424670614,110.2316633,pomegranate
0,27,38,22.44581266,89.90147027,6.7380162210000005,109.3905998,pomegranate
31,25,38,24.96273236,92.40501423,6.4973666770000005,109.4169192,pomegranate
21,21,38,22.5526059,89.32594859999998,6.327673765,104.8955643,pomegranate
6,30,40,22.77035608,91.45498527,6.36137446,106.9659201,pomegranate
15,11,38,23.12808226,92.68328358,6.630646082999999,109.3930157,pomegranate
14,5,36,24.92639065,85.19098079,5.832525853,104.7693804,pomegranate
16,10,41,24.77464458,85.63608688,6.738993954,105.7595811,pomegranate
36,7,37,19.8671184,86.35590206,5.782435567,108.3168858,pomegranate
4,20,41,24.26601316,93.7974061,6.537042717,104.5375109,pomegranate
29,22,40,23.62600218,89.73266695,6.145104401,107.6836871,pomegranate
16,15,42,19.67832052,89.08935702,6.890784045,108.5468633,pomegranate
18,27,41,22.36509395,92.30882391,7.175344328,104.8216333,pomegranate
11,18,42,21.57936934,94.88267728,5.938528744,102.8593382,pomegranate
18,23,44,23.71028128,89.61794165,6.184400085,105.64999070000002,pomegranate
9,8,40,22.48720144,89.9224883,6.553509673,111.6631582,pomegranate
40,27,45,21.66024980000001,94.79397419,5.885638185,112.4349689,pomegranate
22,23,44,20.13037175,89.31505137,6.1438746910000015,107.3416913,pomegranate
12,29,40,19.68291173,89.75272999,6.594037135,111.2818551,pomegranate
0,17,42,23.20242586,91.19442671,6.8598408210000015,109.0946323,pomegranate
28,6,40,22.10621387,91.34039616,6.769855664,106.8704803,pomegranate
29,16,36,19.81069447,88.92944254,5.7403380020000006,102.860084,pomegranate
17,18,43,24.4880844,90.83687246,5.843005428,103.1969341,pomegranate
21,23,42,19.54128063,90.29751796,6.902751061,104.3739878,pomegranate
8,25,36,19.91330523,94.95031368,6.828522375,104.0277061,pomegranate
26,18,42,19.72620525,89.64934166,6.910374919,108.22872759999998,pomegranate
4,19,42,23.83185873,87.84034604,6.306605528,111.2232716,pomegranate
36,24,41,24.94467632,94.25702672,7.009180374,103.8799347,pomegranate
5,24,40,24.692258,93.87030088,6.297907578999999,104.6735454,pomegranate
19,17,39,24.72485577,85.56083187,6.728599215,111.2787584,pomegranate
39,30,38,20.12644921,87.59629625,6.965156737999999,108.065579,pomegranate
4,24,43,22.40423537,88.1508343,7.199504273,109.8695196,pomegranate
38,21,35,20.33691147,89.38003827,5.841367187,110.9653137,pomegranate
37,11,36,24.24779615,85.56033312,6.710143266,106.9216033,pomegranate
9,25,41,24.81530144,91.90842992,5.972714857000001,109.2853418,pomegranate
5,21,38,22.43377991,90.3396556,6.107054807999999,112.459697,pomegranate
22,26,38,22.92052307,85.12912161,6.988035315,110.2437841,pomegranate
4,18,37,22.91843172,85.40695044,7.13147457,106.2817706,pomegranate
21,6,41,24.88244467,89.39686219,7.086947687,107.1951707,pomegranate
29,21,45,23.40981539,93.13277,6.749260456,105.2240743,pomegranate
23,5,44,21.20725375,94.26304717,7.16300467,107.5660804,pomegranate
5,13,37,22.34375696,89.7870345,5.648243648999999,103.3183074,pomegranate
27,24,41,24.32770134,90.88292835,6.610251186,110.4606459,pomegranate
7,23,35,19.75088482,88.71691157,7.054313822999999,102.5538035,pomegranate
12,20,39,19.86173586,86.19740917,6.026999326,111.0217929,pomegranate
3,9,45,23.89162561,89.61850203,6.535244251,104.617522,pomegranate
1,27,36,23.98598756,93.34236582,5.684995235,104.991282,pomegranate
23,30,44,20.93892916,85.42912869,6.12476108,103.0295938,pomegranate
24,21,42,20.82210727,87.22815682,6.999014379,109.4429934,pomegranate
13,30,37,20.86474944,91.61793636,6.277148771,106.8685636,pomegranate
40,11,44,24.45840036,86.10874614,6.322396027000001,111.3779693,pomegranate
21,9,40,24.51147697,90.64498715,5.956401828,105.6209954,pomegranate
3,27,44,24.56811204,92.03009222,6.591302797000001,110.9633894,pomegranate
40,29,42,24.63228709,89.01574455,7.104094929,110.6956184,pomegranate
14,25,40,20.07386547,90.97819712,6.407872061,103.7084055,pomegranate
38,14,37,21.80523051,94.63612858,6.658402594,102.6488846,pomegranate
34,9,36,22.8122645,86.34233767,6.276038961,110.4432293,pomegranate
32,14,37,22.73031253,88.48567856,6.825256236,104.6843243,pomegranate
18,21,35,23.2801227,94.94330457,6.368560522,111.1382096,pomegranate
8,23,38,19.30106297,87.1775172,7.005410734,105.4766591,pomegranate
0,5,36,24.35193812,90.88612388,6.152906502,105.529185,pomegranate
22,9,44,24.72235539,88.87651295,5.744361602000001,112.1926517,pomegranate
14,8,43,21.92513945,94.46485312,7.051654924,111.71620159999998,pomegranate
31,11,45,24.83954414,86.88738076,6.034612928,107.6435771,pomegranate
10,5,42,20.24104904,91.08706822,6.887005997,109.2537734,pomegranate
8,28,38,23.22594,94.42971362,6.8444019,105.6917856,pomegranate
32,13,42,23.50128217,92.97527546,5.786058032000001,106.61905,pomegranate
18,9,40,19.44623085,89.02127045,5.627186257000001,106.1606833,pomegranate
20,27,41,20.51343484,92.51675903,5.700088663,110.5764023,pomegranate
11,10,45,22.63045168,88.45577158,6.397995609,109.0357597,pomegranate
40,18,43,19.38603815,86.79058496,5.767372539,109.91309840000002,pomegranate
3,26,39,24.38318965,91.19431555,7.079973241,103.6012114,pomegranate
9,16,36,23.77989026,92.93386903,5.893332377999999,106.977723,pomegranate
30,20,38,22.59890174,93.16343942,7.058222596,110.0932899,pomegranate
40,9,41,24.37766782,85.4017118,5.78270695,106.128338,pomegranate
40,30,35,20.89273273,91.07776977,6.269663962999999,104.4407083,pomegranate
33,23,45,20.00218987,85.83618191,7.116538883,112.337046,pomegranate
4,14,41,19.85139326,89.80732335,6.430163481,102.8186358,pomegranate
13,17,45,21.25433607,92.65058936,7.159520979,106.2784673,pomegranate
39,24,39,23.65374106,93.32657504,6.431265737,109.8076178,pomegranate
8,28,37,23.88404783,86.20613842,6.082571701,108.3121789,pomegranate
91,94,46,29.36792366,76.24900101,6.149934034,92.82840911,banana
105,95,50,27.33368994,83.67675197,5.849076099,101.0494791,banana
108,92,53,27.40053601,82.96221306,6.276800323,104.9378,banana
86,76,54,29.3159075,80.11585705,5.926824754,90.10978128,banana
93,94,53,25.86632408,84.42379269,6.079178787999999,114.5357503,banana
90,92,55,27.00932084,80.18546798,6.13465588,97.32531705,banana
108,89,53,29.55054817,78.06762846,5.808497603999999,99.34482238,banana
108,88,55,26.28845991,83.390039,5.891458107,113.8729798,banana
105,77,52,29.16226551,76.16151562,5.816622478999999,100.0075679,banana
118,88,52,28.65003945,82.68752542,5.8431631610000005,98.75084366,banana
101,87,54,29.07311132,76.50045221,6.376756632999999,100.1692639,banana
106,85,53,27.1994597,78.80860679999998,5.91505509,99.72430835,banana
86,95,49,28.05484146,78.04602887,6.458714879,108.3957179,banana
85,95,47,25.94019018,78.3422098,6.211833161,119.84797,banana
109,79,45,27.66752761,79.68542782,6.490074429,108.66464,banana
117,86,48,28.6956201,82.54195839,6.225225238999999,116.1616839,banana
114,94,53,26.33544853,76.8532006,6.190757458999999,118.6858263,banana
110,78,50,25.93730186,78.89864446,5.915568968,98.21747528,banana
94,70,48,25.13686519,84.88394407,6.195152442,91.46442491,banana
80,71,47,27.50527651,80.79783998,6.156373499,105.0776992,banana
114,79,51,26.21009246,82.34429458,6.313197204,112.0700033,banana
88,78,45,29.10403455,79.19588629,6.324270089,92.07835761,banana
112,73,48,29.244063800000006,77.32017166,5.7074889870000005,90.66727868,banana
117,76,47,25.56202173,77.38229006,6.119216009,93.10247183,banana
89,83,47,28.09577643,77.79586769,5.63127166,109.5408614,banana
93,91,47,27.84767901,83.31110751,6.101241579,117.2878912,banana
92,81,52,27.39341554,81.4654833,6.438137278999998,94.31102057,banana
105,74,45,25.14517635,81.38204104,6.098369122,119.218154,banana
102,71,48,28.65456263,79.28693687,5.695267822000001,102.4633775,banana
116,71,47,27.57278064,82.0638878,6.435785799,91.34276507,banana
117,79,49,25.40909896,82.36208097,6.176644228,112.9794804,banana
119,72,55,25.99069521,83.33983116,6.220643671,112.0777152,banana
99,73,53,26.29039046,81.06003778,5.8717022110000014,118.6730366,banana
